mies mjes
precipitadamente pɾe.si.piˈta.ða.men̪.te
admirador að.mi.ɾaˈðoɾ
desfavorecer des.fa.βo.ɾeˈseɾ
pleuritis plew.ˈɾi.tis
acarrarse a.kaˈraɾ.se
alcaparro al.kaˈpa.ro
inculto iŋˈkul.to
serrucho seˈru.tʃo
obediencia o.βeˈðjen.sja
rezongar re.soŋˈgaɾ
coipo ˈkoj.po
gorra goˈra
exagerador e.ksa.xe.ɾaˈðoɾ
acharolar a.tʃa.ɾoˈlaɾ
fogonadura fo.ɣo.naˈðu.ra
intenso inˈten.so
cumulonimbo ˌku.mu.loˈnim.bo
lavatorio la.βaˈto.ɾjo
agramar a.ɣɾaˈmaɾ
trayecto tɾa̠ˈʝ̞e̞k.to̞
oeste oˈes.te
galea gaˈle.a
acornear a.koɾ.neˈaɾ
acosar a.koˈsaɾ
dragontea dɾa.ɣon̪ˈte.a
lingual liŋ.ˈgwal
aceleradamente a.se.leˈɾa.ðaˌmen̪.te
vientre ˈbjen̪.tɾe
paralipsis pa.ɾaˈlip.sis
devaluar de.βaˈlwaɾ
enfrentar en.fɾenˈtaɾ
apuradamente a.puˈɾa.ðaˈmen.te
hardware ˈ(x)aɾ(ð).weɾ
boquete boˈke.te
impasible im.paˈsi.βle
coherente ko.eˈɾen.te
codaste koˈðas.te
gamuza gaˈmu.sa
parranda paˈran.da
vitoriano bi.to.ɾja.no
separadamente se.paˈɾa.ðaˌmen̪.te
lavandera la.βan̪ˈde.ɾa
vestigio besˈti.xjo
asombroso a.somˈbɾo.so
difidencia di.fiˈðen̪.sja
formatriz foɾ.maˈtɾis
chibcha ˈtʃiβ.tʃa
panza pan.sa
acentuadamente a.sen̪ˈtwa.ðaˈmen̪.te
amnios ˈam.njos
argavieso ˌaɾ.ɣaˈβje.so
acercar a.seɾ.ˈkaɾ
provincia pɾo.ˈβin.sja
paila ˈpaj.la
ostrogodo os.tɾoˈɣo.ðo
chiflato tʃi.ˈfla.to
almotalafe al.mo.ta.ˈla.fe
cronograma kɾo.noˈɣɾa.ma
decir deˈsiɾ
irreconocible ˌi.re.ko.noˈsi.βle
uruguayismo u.ɾu.waˈʝis.mo
humidificador u.mi.ði.fi.kaˈðoɾ
encargamiento en.kaɾ.ɰaˈmjen.to
exportador eks.poɾ.taˈðoɾ
bolonio boˈlo.njo
factible fakˈti.βle
perficiente peɾ.fiˈsjen.te
unible uˈni.βle
sucursal su.kuɾˈsal
bombero bomˈbe.ɾo
obviar obˈβjaɾ
orfandad oɾ.fan̪ˈdað
origen o.ɾiˈxen
relieve reˈlje.βe
atablar a.taˈβlar
atontar a.ton̪ˈtaɾ
salvable salˈβa.βle
tabique ta.βi.ˈke
petulancia pe.tuˈlan̪.sja
liguero liˈɣe.ɾo
prostituto pɾos.tiˈtu.to
orbital oɾ.βiˈtal
acotamiento a.ko.t̪aˈmjen̪.t̪o
chistoso tʃisˈto.so
pita ˈpi.ta
helor e.ˈloɾ
luminancia lu.miˈnan.sia
veranada be.ɾaˈna.ða
secuestrador se.kwes.tɾaˈðoɾ
melanoma me.laˈno.ma
copioso koˈpjo.so
turiferario tu.ɾi.feˈɾa.ɾjo
brahmanismo ˌbɾa.ma.ˈnis.mo
gradilla gɾaˈði.ʎa
darga ˈðaɾ.ɣa
deliberante de.li.βeˈɾan̪.te
iguar iˈɣwaɾ
veintisiete bejn.ti.ˈsje.te
filibustero fi.li.βus.ˈte.ɾo
amablemente aˈma.βleˈmen̪.te
maricueca ma.ɾi.ˈkwe.ka
igualador i.ɣwa.laˈðoɾ
bazofia baˈso.fja
presuntuosamente pɾe.sun̪ˈtwo.saˈmen̪.te
agramiza a.ɣɾaˈmi.sa
posterior pos.teˈɾioɾ
multimedia mul.tiˈme.dja
palomita pa.loˈmi.ta
aflechado a.fleˈtʃa.ðo
anihilar a.ni.iˈlaɾ
nominal no.miˈnal
demostrador de.mos.tɾaˈðoɾ
invocador im.bo.kaˈðoɾ
juglaresco xu.ɰlaˈɾes.ko
emplastecer em.plas.teˈseɾ
abocelado a.βo.seˈla.ðo
palo ˈpa.lo
vanagloriarse ba.na.ɰloˈɾjaɾ
sel sel
litigante li.tiˈɰan.te
grandioso gɾan.ˈdjo.so
dieciocho dje.si.ˈo.tʃo
afirmadamente a.fiɾˈma.ðaˈmen̪.te
agnocasto ˌaɣnoˈkas.to
normal noɾˈmal
enronquecer en.roŋ.keˈseɾ
estupefacto es.tu.peˈfak.to
demostrativo de.mos.tɾaˈti.βo
nanche ˈnan.tʃe
normativo noɾ.maˈti.βo
entorno en.ˈtor.no
transmitir tɾans.mi.ˈtir
tuerto ˈtweɾ.to
cambalachero kam.ba.laˈtʃe.ɾo
centroamericano ˌsen̪.tɾo.a.me.ɾiˈka.no
disenso diˈsen.so
caspa ˈkas.pa
maldita malˈdi.ta
magosto maˈɰos.to
virgo ˈbiɾ.ɣo
costarricense kos.ta.riˈsen.se
majadero ma.xaˈðe.ɾo
juma ˈχu.ma
precio ˈpɾe.sjo
chirrido tʃiˈri.ðo
salador sa.laˈðoɾ
asolapar a.so.laˈpaɾ
enojoso e.noˈxo.so
molinete mo.li.ˈne.te
glaseado gla.seˈa.ðo
j ˈxo.ta
calificativo ka.li.fi.kaˈti.βo
mojo ˈmo.xo
inesperadamente ĩ.nes.pe.ra.ða.ˈmẽn̦.te
badana baˈða.na
dividivi di.βiˈði.βi
imbecilidad im.be.si.liˈðað
estupendo es.tuˈpen.do
vendedera ben̪.deˈðe.ɾa
forestar fo.ɾesˈtaɾ
laboral la.βoˈɾal
amaestrador a.ma.es.tɾaˈðoɾ
ingenioso in.xeˈnjo.so
simio ˈsi,mjo
enmarcar en.maɾˈkaɾ
yoga ˈʝo.ɣa
naufragar naw.fɾaˈɣaɾ
platanar pla.taˈnaɾ
supositorio su.po.siˈto.rjo
tetera teˈte.ɾa
racista ra.ˈsis.ta
televisor te.le.βiˈsoɾ
instinto ins.ˈtin.to
esconder es.konˈdeɾ
intermitente in.teɾ.miˈten.te
pancarta paŋˈkaɾ.ta
pagamiento pa.ɰaˈmjen.to
aglomerar a.ɣlo.meˈɾaɾ
muchacho muˈtʃa.tʃo
asustadizo a.sus.taˈði.so
hexagonal ek.sa.ɣoˈnal
interesante in.te.ɾeˈsan̪.te
menopausia me.noˈpaw.sja
bocina boˈsi.na
paginar pa.xiˈnaɾ
acogedor a.ko.ɣeˈðor
achocadura a.tʃo.kaˈðu.ɾa
achaparrarse a.tʃa.paˈraɾ.se
inmiscuir in.mis.kuˈiɾ
vocal boˈkal
mendelevio men.de.ˈle.βjo
cultoso kulˈto.so
soflamero so.flaˈme.ro
arabio aˈɾa.βjo
garrochazo ga.roˈtʃa.so
dermatosis ˌdeɾ.maˈto.sis
nervadura neɾ.βaˈðu.ɾa
purgador puɾ.ɰaˈðoɾ
fenotipo fe.no.ˈti.po
generador xe.ne.ɾaˈðoɾ
guardar gwaɾˈðaɾ
azotea a.soˈte.a
cursi ˈkuɾ.si
taruga taˈɾu.ɣa
salitroso sa.li.ˈtɾo.so
solidez so.li.ðes
peral peˈɾal
zapuzar sa.pu.ˈsaɾ
incontrovertible iŋ.kon.tɾo.βeɾ.ˈti.βle
endocarpio en.doˈkaɾ.pjo
sofocar so.foˈkaɾ
cabrestante ka.βɾesˈtan.te
fecundamente feˌkun̪ˌ.daˈmen̪.te
tuerca ˈtweɾ.ka
huelga ˈwel.ɰa
campechana kam.peˈtʃa.na
diamantino dja.man̪ˈti.no
curita ku.ˈɾi.ta
olvidanza ol.βiˈðan.sa
garlocha gaɾˈlo.tʃa
homosexual o.mo.sekˈswal
factorial fak.toˈɾial
encajar eŋ.kaˈxaɾ
afiladera a.fi.laˈðe.ɾa
tea ˈte.a
comparativamente kom.pa.ɾaˈti.βaˈmen̪.te
recurrir re.kuˈriɾ
neoliberalismo ne.o.li.βe.ɾaˈlis.mo
vivaque biˈβa.ke
recurar re.kuˈrar
trasfondo tɾasˈfon.do
actuar ak.ˈtwaɾ
baremo baˈɾe.mo
estera es.ˈte.ɾa
contorsionarse kon̪.toɾ.sjoˈnaɾ.se
obenque oˈβeŋ.ke
importar im.poɾˈtaɾ
nutriente nuˈtɾjen̪.te
veraniego be.ɾaˈnje.ɰo
muscular mus.ku.ˈlaɾ
conformemente konˈfoɾ.meˈmen̪ .te
estufar es.tuˈfaɾ
anastomosarse a.nas.to.moˈsaɾ.se
muslo ˈmus.lo
cotuza koˈtu.sa
parir paˈɾiɾ
femenino fe.me.ˈni.no
respetoso res.peˈto.so
recusar re.kuˈsaɾ
marrullar ma.ruˈʎaɾ
guanajo ɰwa.ˈna.χo
aliagar a.ljaˈɣaɾ
pelambre peˈlam.bɾe
casualidad ka.swa.liˈðað
cuchillada ku.tʃiˈʎa.ða
negritud ne.ɣɾiˈtuð
gubernamental gu.βeɾ.na.menˈtal
sinuoso siˈnwo.so
progenitor pɾo.xe.niˈtoɾ
taekwondo tajˈkwon.do
enripiar en.riˈpjaɾ
majoleto ma.xoˈle.to
noche ˈno.t͡ʃe
patojo pa.ˈto.xo
zumbido sumˈbi.ðo
desconocedor des.ko.no.seˈðoɾ
parsimonioso paɾ.si.moˈnjo.so
picar piˈkaɾ
alarbe aˈlaɾ.βe
machihembrar ma.tʃi.emˈβɾaɾ
cierne ˈsjeɾ.ne
piporro piˈpo.ro
migrar miˈɣɾaɾ
talud taˈluð
sortija soɾˈti.xa
agrafia aˈɣɾa.fja
meritoriamente me.ɾiˈto.ɾjaˈmen̪.te
africano a.fɾiˈka.no
angelino aŋ.xeˈli.no
amura aˈmu.ɾa
endiosar en̪.djoˈsaɾ
acimboga a.simˈbo.ɣa
vejestorio be.xesˈto.ɾjo
gobernoso go.βeɾˈno.so
prolongadamente pɾo.loŋˈga.ðaˈmen̪.te
acequiero a.seˈkje.ɾo
bronquitis bɾonˈki.tis
chope ˈtʃo.pe
accesibilidad ak.seˈsi.βi.liˈðað
armar aɾˈmaɾ
sendero senˈde.ɾo
pixel pik.ˈsel
halconero al.koˈne.ɾo
gubernativamente gu.βeɾ.naˈti.βaˈmen.te
iterativo i.te.ɾaˈti.βo
menor meˈnoɾ
contrito kon.ˈtɾi.to
mecate meˈka.te
pedal peˈðal
hijo ˈi.xo
pubertad pu.βeɾˈtað
panga paŋˈga
obtener oβ.teˈneɾ
joto ˈxo.to
marraqueta ma.raˈke.ta
pluricelular plu.ɾi.se.lu.ˈlar
calumniosamente ka.lumˈnjo.saˈmen.t̪e
informador in.foɾ.maˈðoɾ
parasitosis pa.ɾa.si.ˈto.sis
adoctrinar a.ðok.tɾiˈnaɾ
cincel sinˈsel
huincha ˈgwin.tʃa
absencia aβˈsen.sja
esquinado es.kiˈna.ðo
bisonte bi.ˈson.te
bagaje ba.ˈɰa.xe
comistrajo ko.misˈtɾa.xo
bolacero bo.laˈse.ɾo
desmerecer des.me.ɾeˈseɾ
mejunje meˈxuŋ.xe
tirafondo ti.ɾaˈfon.do
excepcional eks.ep.sjoˈnal
enchufe en.tʃu.fe
limpiamiento lim.pja.ˈmjen.to
chungo ˈtʃuŋ.go
cabuya kaˈβu.ʝa
mamporrero mam.poˈre.ɾo
flamante flaˈman.te
azumbre aˈsum.bɾe
abigarrar a.βi.ɣa.ˈraɾ
arrocero a.roˈse.ɾo
tamboril tam.boˈɾil
agatino a.ɣaˈti.no
encogimiento eŋ.ko.xiˈmjen̪.to
lujo ˈlu.xo
canistro kaˈnis.tɾo
parlar paɾˈlar
sancirole san.siˈɾo.le
aceitunado a.sej.tuˈna.ðo
caraos ka.ˈɾa.os
sospecha sosˈpe.tʃa
amedrentador a.me.ðɾen̪.taˈðoɾ
ubicuidad u.βi.kwiˈðað
piamadre pi.a.ˈma.ðɾe
reconvalecer re.kom.ba.leˈseɾ
oprimir o.pɾiˈmiɾ
correazo ko.reˈa.so
confianzudo kon.fjan̪ˈsu.ðo
arrisco aˈris.ko
oriundo oˈɾjun̯.do
ocelote o.seˈlo.te
ranura ra.ˈnu.ɾa
gola ˈgo.la
trasfundir tɾas.fun̪ˈdir
abatismo a.βaˈtis.mo
complexionado kom.ple.ksjoˈna.ðo
empacar em.paˈkaɾ
generosamente xe.neˈɾo.saˈmen̪.te
aparrar a.paˈraɾ
invariable ĩm.ba.ɾja.βle
pescadero pes.kaˈðe.ɾo
mucoso mu.ˈko.so
bastantear bas.tan.teˈaɾ
alabastrino a.la.βasˈtɾi.no
penar pe.ˈnaɾ
opulento o.puˈlen.to
andadura aŋ.ðaˈðu.ɾa
paladar pa.la.ˈðaɾ
tambor tamˈboɾ
nexo ˈnek.so
imberbe imˈbeɾ.βe
pucho ˈpu.tʃo
alojar a.loˈxaɾ
agible aˈxi.βle
alianza aˈljan.sa
admitir að.miˈtiɾ
lixiviar li.ksiˈβjaɾ
carbonero kaɾ.βoˈne.ɾo
elogiable e.loˈxja.βle
acitara a.siˈta.ɾa
disparcialidad dis.paɾ.sja.liˈðað
situar siˈtwaɾ
matraca maˈtɾa.ka
malvivir ˌmal.βiˈβiɾ
babilonio ba.βiˈlo.njo
pianista pjaˈnis.ta
iniciar i.ni.ˈsjaɾ
africana a.fɾiˈka.na
lastimosamente las.tiˈmo.saˈmen.te
flanco ˈflaŋ.ko
demoscopia de.mos.ˈko.pja
reconcomio re.koŋˈko.mjo
adiestrar a.ðjesˈtɾaɾ
socialismo so.sjaˈlis.mo
publicar pu.βliˈkaɾ
chipichape tʃi.pi.ˈtʃa.pe
arribar a.riˈβaɾ
envilecer em.bi.leˈseɾ
huidizo u.i.ˈði.so
asertor a.seɾˈtoɾ
perigonio pe.ɾi.ˈγo.njo
fallecimiento fa.ʎe.siˈmien.to
cardar kaɾˈðaɾ
sospechoso sos.peˈtʃo.so
sesgar ses.ˈgaɾ
principiar pɾin.siˈpjaɾ
limosnador li.mos.naˈðoɾ
esquinadura es.ki.naˈðu.ɾa
sarna ˈsaɾ.na
aftoso afˈto.so
aeronato a.e.ɾoˈna.to
castradura kas.tɾaˈðu.ɾa
capacha kaˈpa.tʃa
salvajino sal.βaˈxi.no
abulaga a.βuˈla.ɣa
acaule aˈkaw.le
suceso suˈse.so
afranjado a.fɾaŋˈxa.ðo
desucar de.su.ˈkar
aserradizo se.raˈði.so
condicionamiento ˌkon̪.di.sjo.naˈmjen̪.to
abaluartar a.βa.lwaɾˈtaɾ
bala ˈba.la
ornitorrinco oɾ.ni.toˈriŋ.ko
conoscencia ko.noˈsen.sja
reciprocar re.si.pɾoˈkaɾ
autobombo aw.to.ˈβom.bo
elefanta e.le.ˈfan.ta
uvular u.βu.ˈlaɾ
duplicidad du.pli.si.ˈðad
guardarropa gwaɾ.ðaˈro.pa
obtuso opˈtu.so
sentido senˈti.ðo
disfemismo dis.feˈmis.mo
cortejo koɾˈte.xo
cascajuelo kas.ka.ˈxwe.lo.
esperar es.peˈɾaɾ
leporino le.po.ˈɾi.no
fianza 'fjan.sa
engrupir eŋ.gɾuˈpiɾ
pescador pes.kaˈðoɾ
remangar re.maŋˈgaɾ
terso ˈteɾ.so
gurripato gu.riˈpa.to
galoneador ga.lo.ne.aˈðoɾ
pradera pɾaˈðeɾa
vizconde bisˈkon.de
vomitar bo.miˈtaɾ
despernancarse des.peɾ.naŋˈkaɾ.se
guarnir gwaɾˈniɾ
tempranamente temˈpɾa.naˈmen.te
rendija renˈdi.xa
sobrevesta so.βɾeˈβes.ta
retrato reˈtɾa.to
timple ˈtim.ple
cimento siˈmen̪.to
bosta ˈbos.ta
verdadero beɾ.daˈðe.ɾo
enunciar e.nunˈsjaɾ
geodesia xe.oˈðe.sja
pichanga piˈʧaŋ.ga
marrazo maˈra.so
rampante ram.ˈpan.te
clericatura kle.ɾi.kaˈtu.ɾa
marrasquino ma.rasˈki.no
cuaresma cuaˈɾes.ma
entendible en̪.ten̪ˈdi.βle
protegido pɾo.te.ˈxi.ðo
sutura suˈtu.ɾa
proyeccionista pɾo.ʝek.sjoˈnis.ta
tajamar ta.xa.ˈmar
alborotador al.βo.ɾo.taˈðoɾ
talante taˈlan̯.te
entretanto en.tɾeˈtan.to
acariciador a.ka.ɾi.sjaˈðoɾ
focal foˈkal
inigualable in.i.ɣwaˈla.βle
expirar es.pi.ˈɾaɾ
novecientos no.be.sien.tos
antequino  an.teˈki.no 
dactiloscopia ˌdak.ti.los.ˈko.pja
permisivo peɾ.miˈsi.βo
asenso aˈsen.so
subscrito suβsˈkɾi.to
helado e.ˈla.do
achiotero a.tʃjoˈte.ɾo
placibilidad pla.si.βi.liˈðað
considerablemente kon.si.ðeˈɾa.βleˈmen̪.te
husita uˈsi.ta
trascrito tɾasˈkɾi.to
afijar a.fiˈxaɾ
insomnio in.ˈsom.njo
quirquincho kiɾˈkiɲ.ʧo
efectuar e.fekˈtwar
estilo esˈti.lo
incompetencia iŋ.kom.peˈten.sja
vitola biˈto.la
prolongador pɾo.loŋ.gaˈðoɾ
leucoma lewˈko.ma
rango ˈraŋ.go
ero ˈe.ɾo
vizcondado bis.konˈda.ðo
chal ˈtʃal
adempribio a.ðemˈpɾi.βio
catafalco ka.taˈfal.ko
avatar a.βa.ˈtaɾ
maturrango ma.tuˈraŋ.go
mondongo mon̪ˈdoŋ.go
exuberar e.ksu.βeˈɾaɾ
salvar salˈβaɾ
agachar a.ɣaˈtʃaɾ
escoa esˈko.a
destructivamente des.tɾukˈti.βaˈmen̪.te
puesta ˈpwes.ta
lauchero law.ˈtʃe.ɾo
hornacina oɾ.naˈsi.na
acadio aˈka.ðjo
pazguato pasˈɰwa.to
ingrato iŋˈgɾa.to
obedecer o.βe.ðeˈseɾ
cuate ˈkwa.te
esclusa esˈklu.sa
sublime suˈβli.me
yeso ˈʝe.so
churrasquear tʃu.rasˈke.aɾ
sexualidad sek.swa.liˈðað
correcto koˈrek.to
aguardar a.ɣwaɾˈðaɾ
electorado e.lek.toˈɾa.ðo
distante disˈtan̪.te
engrosar eŋ.ɣɾoˈsaɾ
barza ˈbaɾ.sa
desguazar des.gwaˈsaɾ
invocatorio im.bo.kaˈto.ɾjo
boticaje bo.tiˈka.xe
isquemia is.ˈke.mja
traslucir tɾas.luˈsiɾ
pingo ˈpiŋ.go
lavamiento la.βaˈmjen̪.to
caigua ˈkaj.ɰwa
impersonal im.peɾ.soˈnal
gozne ˈgos.ne
peceto pe.ˈtʃe.to
dispositivamente dis.po.siˈti.βaˈmen.te
macana maˈka.na
discontinuo dis.kon.ˈti.nwo
formable foɾˈma.βle
camalotal ka.ma.loˈtal
diantre ˈdjan.tɾe
nato ˈna.to
cadaverina ka.ða.βeˈɾi.na
papayo paˈpa.ʝo
merengue meˈɾeŋ.ge
solitariamente so.liˈta.ɾjaˈmen̪.te
adoquiera a.ðoˈkje.ɾa
hoploteca o.ploˈte.ka
vertebrado beɾ.teˈβɾa.ðo
parche ˈpaɾ.tʃe
marxismo maɾkˈsis.mo
firmal fiɾˈmal
hendedura en̪.deˈðu.ɾa
donar doˈnaɾ
panarra paˈna.ra
rebelde reˈβel.ðe
brezar bɾeˈsaɾ
driblar dɾiˈblaɾ
tragacanto tɾa.ɣaˈkan̪.to
brigada bɾiˈɰa.ða
zaragutear sa.ɾa.ɣu.teˈaɾ
adscrito aðsˈkɾi.to
espejo esˈpe.xo
muslim mus.ˈlim
cartomancia kaɾ.toˈman.sja
rosario roˈsa.ɾjo
negador ne.ɰaˈðoɾ
enviada emˈbja.ða
veintiocho bejn.ˈtjo.tʃo
elucubrar e.lu.kuˈβɾaɾ
tinajero ti.naˈxe.ɾo
abanear a.βa.neˈaɾ
cuchipanda ku.t͡ʃiˈpan.da
interrumpir in̪.te.rumˈpiɾ
distermia disˈteɾ.mja
maracayero ma.ɾa.kaˈʝe.ɾo
pecuniario pe.kuˈnja.ɾjo
jocosamente xoˈko.saˈmen̪.te
carajo kaˈɾa.xo
galicoso ɣa.liˈko.so
aserenar a.se.ɾeˈnaɾ
grandura gɾan̪ˈdu.ɾa
apaciblemente a.paˈsi.βleˈmen̪.te
tarida taˈɾi.ða
irritador i.ri.ta.ˈðoɾ
podredumbre po.ðɾeˈðum.bɾe
ameritar a.me.ɾiˈtaɾ
unto ˈun.to
evaluador e.βa.lwaˈðoɾ
peneca peˈne.ka
inmenso inˈmen.so
bieldar bjelˈdaɾ
ubicuo uˈβi.kwo
infijo inˈfi.xo
peligrosamente pe.liˈɣɾo.saˈmen̪.te
choto ˈʧo.to
palmeral pal.meˈɾal
zangolotino saŋ.go.loˈti.no
tabloide taˈβloj.ðe
sextante segs.ˈtan.te
mocha ˈmo.tʃa
