aaronita a.a.ɾoˈni.ta
aborrecedor a.βo.re.seˈðoɾ
aborrecer a.βo.reˈseɾ
aborrecible a.βo.reˈsi.βle
aborrecimiento a.βo.re.siˈmjen̪.to
aborregarse a.βo.reˈɣaɾ.se
aborrible a.βoˈri.βle
aborrir a.βoˈriɾ
aborronar a.βo.roˈnaɾ
aborso aˈβoɾ.so
abortadura a.βoɾ.taˈðu.ɾa
abortamiento a.βoɾtaˈmjen̪.to
abortar a.βoɾˈtaɾ
abortista a.βoɾˈtis.ta
abortivo a.βoɾˈti.βo
aborujar a.βo.ɾuˈxaɾ
abotagamiento a.βo.ta.ɣaˈmjen̪.to
abotagarse a.βo.taˈɣaɾ.se
abotargarse a.βo.taɾˈɣaɾ.se
abotinado a.βo.tiˈna.ðo
abotonar a.βo.toˈnaɾ
abovedar a.βo.βeˈðaɾ
aboyar a.βoˈʝar
abozalar a.βo.saˈlaɾ
abozo aˈβo.so
abracadabra a.βɾa.kaˈða.βɾa
abracadabrante a.βɾaˈka.ðaˌβɾan̪.te
abracar a.βraˈkaɾ
abracijarse a.βɾa.siˈxaɾ.se
abracijo a.βɾaˈsi.xo
abrasadamente a.βɾaˈsa.ðaˌmen̪.te
abrasador a.βɾa.saˈðoɾ
abrasamiento a.βɾa.saˈmjen̪.to
abrasar a.βɾaˈsaɾ
abrasilado a.βɾa.siˈla.ðo
abrasivo a.βɾaˈsi.βo
abravar a.βɾaˈβaɾ
abravecer a.βɾa.βeˈseɾ
abraxas aˈβɾa.ksas
abrazada a.βɾaˈsa.ða
abrazadera a.βɾa.saˈðe.ɾa
abrazador a.βɾa.saˈðoɾ
abrazamiento a.βɾa.saˈmjen̪.to
abrazar a.bɾa.ˈsar
abreboca a.βɾeˈβo.ka
abrecartas a.βɾeˈkaɾ.tas
abrecoches a.βɾeˈko.tʃes
abregancias a.βɾeˈɣan.sjas
abrelatas ˌa.βɾeˈla.tas
abrenunciar a.βɾeˌnunˈsjaɾ
abrenuncio a.βɾeˈnun.sjo
abreojos ˈa.βɾeˈo.xos
abretonar a.βɾe.toˈnaɾ
abrevadero a.βɾe.βaˈðe.ɾo
abrevar a.βɾeˈβaɾ
abreviamiento a.βɾe.βjaˈmjen̪.to
abreviar a.βɾeˈβjaɾ
abreviatura a.βɾe.βjaˈtu.ɾa
abrezar a.βɾeˈsaɾ
abriboca a.βɾiˈβo.ka
abribonarse a.βɾi.βoˈnaɾ.se
abridero a.βɾiˈðe.ɾo
abrigadero a.βɾi.ɣaˈðe.ɾo
abrigadura a.βɾi.ɣaˈðu.ɾa
abril aˈβɾil
abrir aˈβɾiɾ
abrochador a.βɾoˈtʃa.ðoɾ
abrochar a.βɾoˈtʃaɾ
abromar a.βɾoˈmaɾ
abroncar a.βɾoŋˈkaɾ
abroquelar a.βɾo.keˈlaɾ
abrumarse a.βɾuˈmaɾ.se
abrunal a.βɾuˈnal
abrupto aˈβɾup.to
abrutado a.βɾuˈta.ðo
abruzarse a.βɾuˈsaɾ.se
absceso abs.ˈse.so
abscisa absˈsi.sa
absconder aps.konˈdeɾ
absencia aβˈsen.sja
absenta aβˈsen̪.ta
absentarse aβ.sen̪ˈtaɾ.se
absente aβˈsen̪.te
absentismo aβ.sen̪ˈtis.mo
absentista aβ.sen̪ˈtis,ta
absidal aβ.siˈðal
absintio aβˈsin̪.tjo
absolutamente aβ.soˈlu.taˌmen̪.te
absolutidad aβ.so.lu.tiˈðað
absolutismo ab.so.lu.ˈtis.mo
absolutista aβ.so.luˈtis.ta
absoluto aβ.soˈlu.to
absolutorio aβ.so.luˈto.ɾjo
absolvederas aβ.sol.βeˈðe.ɾas
absolver aβ.sol.ˈβeɾ
absorbente aβ.soɾˈβen̪.te
absorber ab.soɾˈβeɾ
absorbimiento aβ.soɾ.βiˈmjen̪.to
absortar aβ.soˈtaɾ
abstemio aβsˈte.mjo
abstencionismo aβs.ten̪sjoˈnis.mo
abstencionista aβs.ten̪.sjoˈnis.ta
abstener aβs.teˈneɾ
abstergente aβs.teɾˈɣen̪.te
absterger aβs.teɾˈxeɾ
abstersivo aβs.teɾˈsi.βo
abstinencia a(β)s.tiˈnen.sja
abstinente aβs.tiˈnen̪.te
abstractivo aβs.tɾakˈti.βo
abstracto aβsˈtɾak.to
abstraer abs.tɾaˈeɾ
abstruso absˈtɾu.so
absurdidad aβ.suɾ.ðiˈðað
absurdo apˈsuɾ.ðo
abubo aˈβu.βo
abuchear a.βuˈtʃea.ɾ
abuela aˈβwe.la
abuelastro a.βweˈlas.tɾo
abuelo aˈβwe.lo
abuhado a.βuˈa.ðo
abuhamiento a.βu.aˈmjen̪.to
abujardar a.βu.xaɾˈðaɾ
abuje aˈβu.xe
abulaga a.βuˈla.ɣa
abulagar a.βu.laˈɣaɾ
abulense a.βuˈlen.se
abulia aˈβu.lja
abulonar a.βu.lo.ˈnaɾ
abultamiento aˈβul.taˌmjen̪.to
abultar a.βulˈtaɾ
abundamiento a.βun̪.daˈmjen̪.to
abundancia a.βunˈdan.sja
abundancial aˌβun̪.dan̪ˈsjal
abundante a.βun̪ˈdan̪.te
abundantemente a.βun̪ˈðan̪.teˈmen̪.te
abundar a.βun.daɾ
abundoso a.βun̪ˈdo.so
abur aˈβuɾ
aburar a.bu.ˈɾar
aburelado a.βu.ɾeˈla.ðo
aburguesamiento a.βuɾˌɣe.saˈmjen̪.to
aburguesarse a.βuɾ.ɣeˈsaɾ.se
aburrarse a.βuˈraɾ.se
aburridamente a.βuˈri.ðaˌmen̪.te
aburridor a.βu.riˈðoɾ
aburrimiento a.βu.riˈmjen̪.to
aburrir a.βuˈriɾ
aburujar a.βu.ɾuˈxaɾ
abusador a.βu.saˈðoɾ
abusar a.βuˈsar
abusionero a.βu.sjoˈne.ɾo
abusivo a.βuˈsi.βo
abuzarse a.βuˈsaɾ.se
abyecto aβˈʝek.to
aca ˈa.ka
acabable a.kaˈβa.βle
acabada a.ka.ˈβa.ða
acabadamente a.kaˈβa.ðaˌmen̪.te
acabador a.ka.βaˈðoɾ
acabalar a.ka.βa.ˈlaɾ
acabamiento a.ka.βaˈmjen̪.to
acabar a.kaˈβar
acabijo a.kaˈβi.xo
acabildar a.ka.βilˈðaɾ
acabose a.kaˈβo.se
acabronado a.ka.βɾoˈna.ðo
acacharse a.kaˈtʃaɾ.se
acachetar a.ka.tʃeˈtaɾ
acachetear a.ka.tʃeˈte.aɾ
acachorrar a.ka.tʃoˈraɾ
acacia aˈka.sja
acaciano a.kaˈsja.no
academia a.kaˈðe.mja
academicismo a.ka.ðe.miˈsis.mo
academicista a.ka.ðe.miˈsis.ta
academio a.kaˈðe.mjo
academista a.ka.ðeˈmis.ta
academizar a.ka.ðe.miˈsaɾ
acadio aˈka.ðjo
acaecedero a.kae.seˈðe.ɾo
acaecimiento a.ka.e.siˈmjen̪.to
acafresna a.kaˈfɾes.na
acaguasarse a.ka.ɣwaˈsaɾ.se
acahual a.kaˈwal
acairelar a.kaj.ɾeˈlaɾ
acal aˈkal
acalabrotar a.ka.la.βɾoˈtaɾ
acalambrar a.ka.lamˈβɾa.ɾ
acaldar a.kalˈðaɾ
acalefo a.ka.leˈfo
acalenturarse a.kaˈlen̪.tuˈɾaɾ.se
acalia aˈka.lja
acalmar a.kalˈmaɾ
acaloradamente a.ka.loˈɾa.ðaˌmen̪.te
acaloramiento a.ka.lo.ɾaˈmjen̪.to
acalorar a.ka.loˈɾaɾ
acalugar a.ka.luˈɣaɾ
acalumniador a.kaˌlum.njaˈðoɾ
acalumniar a.ka.lumˈnja.ɾ
acamar a .kaˈmaɾ
acamaya a.kaˈma.ʝa
acambrayado a.kam.βɾaˈʝa.ðo
acampamento a.kam.paˈmen̪.to
acampanar a.kam.paˈnaɾ
acampar a.kamˈpaɾ
acamuzado a.ka.muˈsa.ðo
acanaladura a.ka.na.laˈðu.ɾa
acanalar a.ka.naˈlaɾ
acandilado a.kan̪.diˈla.ðo
acanelado a.ka.neˈla.ðo
acanelonar a.ka.ne.loˈnaɾ
acantalear a.kan̪.taˈle.ar
acantarar aˌkan̪.taˈɾaɾ
acantear aˌkan̪ˈte.ar
acantilar aˌkan̪.tiˈlaɾ
acantinflado aˌkan̪.tinˈfla.ðo
acantio aˈkan̪.tjo
acanto aˈkan.to
acantonamiento aˌkan̪.to.naˈmjen̪.to
acantonar aˌkan̪.toˈnaɾ
acantopterigio aˌkan̪.top.teˈɾi.xjo
acaparador a.ka.pa.ɾaˈðoɾ
acaparamiento a.ka.pa.ɾaˈmjien̪.to
acaparar a.ka.paˈɾaɾ
acaparrosado a.ka.pa.roˈsa.ðo
acapizarse a.ka.piˈsaɾ.se
acaponado a.ka.poˈna.ðo
acaracolado a.ka.ɾa.koˈla.ðo
acarambanado a.ka.ɾam.baˈna.ðo
acaramelar a.ka.ɾa.meˈlaɾ
acarar a.kaˈɾaɾ
acardenalar a.kaɾ.ðe.naˈlaɾ
acareamiento a.ka.ɾeaˈmjen̪.to
acarear a.kaˈɾeaɾ
acariciador a.ka.ɾi.sjaˈðoɾ
acariciar a.ka.ɾi.ˈsjaɾ
acarminado a.kaɾ.miˈna.ðo
acarnerado a.kaɾ.neˈɾa.ðo
acaronar a.ka.ɾoˈnaɾ
acarraladura a.ka.ra.laˈðu.ɾa
acarralar a.ka.raˈlaɾ
acarrarse a.kaˈraɾ.se
acarrascado a.ka.rasˈka.ðo
acarrazarse a.ka.raˈsaɾ.se
acarreadizo a.ka.reaˈði.so
acarreador a.ka.reaˈðoɾ
acarreamiento a.ka.reaˈmjen̪.to
acarrear a.kaˈre.aɾ
acarretar a.ka.reˈtaɾ
acartonarse a.kaɾ.toˈnaɾ.se
acasamatado aˌka.sa.maˈta.ðo
acasarado aˌka.saˈɾa.ðo
acaserarse aˌka.seˈɾaɾ.se
acaso aˈka.so
acastorado aˌkas.toˈɾa.ðo
acatable a.kaˈta.βle
acatadamente a.kaˈta.ðaˌmen̪.te
acatadura a.ka.taˈðu.ɾa
acatalecto aˌka.taˈlek.to
acatamiento a.ka.taˈmjen.to
acatanca a.kaˈtaŋ.ka
acatar a.ka.ˈtaɾ
acatarrar aˌka.taˈraɾ
acaudalador aˌkaw.ða.laˈðoɾ
acaudalar aˌkaw.ðaˈlaɾ
acaule aˈkaw.le
acautelarse aˌkaw.teˈlaɾ.se
acceder ak.seˈðeɾ
accesibilidad ak.seˈsi.βi.liˈðað
accesible ak.seˈsi.βle
accesional ak.se.sjoˈnal
acceso akˈse.so
accesoriamente ak.seˈso.ɾjaˌmen̪.te
accesorio ak.seˈso.ɾjo
accidentabilidad ak.siːðen̪.ta.βi.liˈðað
accidentadamente ak.si.ðen̪ˈta.ðaˌmen̪.te
accidentalidad ak.siˈðen̪.ta.liˈðað
accidentalmente ak.si.ðen̪ˈtalˌmen̪.te
accidentar ak.si.ðen.ˈtaɾ
accidentariamente ak.si.ðen̪ˈta.ɾjaˌmen̪.te
accidentario ak.si.ðen̪ˈta.ɾjo
accionar ak.sjoˈnaɾ
accionariado ak.sjo.naˈɾja.ðo
accionarial ak.sjo.naˈɾjal
accionario ak.sjoˈna.ɾjo
accitano ak.siˈta.no
acebadamiento a.seˌβa.ðaˈmjen̪.to
acebadar a.se.βaˈðaɾ
acebal a.seˈβal
acebeda a.seˈβe.ða
acebedo a.seˈβe.ðo
acebibe a.seˈβi.βe
acebo aˈse.βo
acebollado a.se.βoˈʎa.ðo
acebolladura a.se.βo.ʎaˈðu.ɾa
acebuchal a.se.βuˈtʃal
acebuche a.se.ˈbu.tʃe
acebucheno a.se.βuˈtʃe.no
acebuchina a.se.βuˈtʃi.na
acechadera a.se.tʃaˈðe.ɾa
acechadero a.se.tʃaˈðe.ɾo
acechador a.se.tʃaˈðoɾ
acechamiento a.setʃaˈmjen̪.to
acechar a.seˈtʃaɾ
acecido a.seˈsi.ðo
acecinar a.se.siˈnaɾ
acedamente a.se.ðaˈmen̪.te
acedera a.seˈðe.ɾa
acederaque a.se.ðeˈɾa.ke
acedia aˈse.ðja
acedura a.seˈðu.ɾa
acefalia a.seˈfa.lja
acefalismo a.se.faˈlis.mo
aceifa aˈsei.fa
aceitada aˌsejˈta.ða
aceitazo aˌsejˈta.so
aceite aˈsei̯.te
aceitoso aˌsejˈto.so
aceituna a.sejˈtu.na
aceitunado a.sej.tuˈna.ðo
aceitunero aˌsej.tuˈne.ɾo
aceitunil a.sej.tuˈnil
aceituno a.sejˈtu.no
acejero a.seˈxe.ɾo
acelajado a.se.laˈxa.ðo
aceleradamente a.se.leˈɾa.ðaˌmen̪.te
aceleramiento a.se.le.ɾaˈmjen̪.to
acelerar a.se.leˈɾaɾ
aceleratriz a.se.le.ɾaˈtɾis
acelga aˈsel.ɰa
acemilar a.se.miˈlaɾ
acemilero a.se.miˈle.ɾo
acender a.sen̪ˈdeɾ
acendramiento a.sen.dɾaˈmjen.to
acendrar a.sen̪ˈdɾaɾ
acenefa a.seˈne.fa
acenoria a.seˈno.ɾja
acensar a.senˈsaɾ
acensuador a.sen.swaˈðoɾ
acensuar a.senˈswaɾ
acento aˈsen̪.to
acentuadamente a.sen̪ˈtwa.ðaˈmen̪.te
acentual a.sen̯ˈtwal
acepilladura a.se.pi.ʎaˈðu.ɾa
aceptabilidad a.sep.ta.βi.liˈðað
aceptable a.sepˈta.βle
aceptadamente a.sepˈta.ðaˈmen̪.te
aceptador a.sep.taˈðoɾ
aceptar a.sepˈtaɾ
aceptor a.sepˈtoɾ
acequiaje a.se.ˈkja.xe
acequiar a.seˈkjaɾ
acequiero a.seˈkje.ɾo
acerar a.seˈɾaɾ
acerbamente aˈseɾ.βaˈmen̪.te
acerbidad a.seɾ.βiˈðað
acercador a.seɾ.kaˈðoɾ
acercanza a.seɾˈkan.sa
acercar a.seɾ.ˈkaɾ
acerico a.se.ˈɾi.ko
acerista a.seˈɾis.ta
acernadar a.seɾ.naˈðaɾ
acerola a.seˈɾo.la
acerolo a.seˈɾo.lo
acerrojar a.se.roˈxaɾ
acertador a.seɾ.taˈðoɾ
acertajo a.seɾˈta.xo
acertamiento a.seɾˈta.mjen.to
acertante a.seɾˈtan̪.te
acertar a.seɾˈtaɾ
acertero a.seɾˈte.ɾo
acertijo a.seɾˈti.xo
aceruelo a.seɾˈwe.lo
acervar a.seɾˈβaɾ
acescencia a.sesˈsen.sja
acescente a.sesˈsen̪.te
acetal a.seˈtal
acetar a.seˈtaɾ
acetato a.seˈta.to
acetificador a.se.ti.fi.kaˈðoɾ
acetificar a.se.ti.fiˈkaɾ
acetileno a.se.tiˈle.no
acetite a.seˈti.te
aceto aˈtʃe.to
acetona a.seˈto.na
acetosidad a.se.to.siˈðað
acetoso a.seˈto.so
acetre a.ˈse.tɾe
acetrero a.seˈtɾe.ɾo
acevilar a.se.βiˈlaɾ
achabacanamiento a.tʃa.βa.ka.naˈmjen.to
achabacanar a.tʃa.βa.kaˈnaɾ
achacable a.tʃaˈka.βle
achacar a.ʈʃaˈkaɾ
achachay a.tʃaˈtʃaj
achacoso a.tʃaˈko.so
achaflanar a.tʃa.flaˈnaɾ
achajuanarse a.tʃa.xwaˈnaɾ.se
achalay a.tʃaˈlaj
achambergado a.tʃam.beɾˈɣa.ðo
achampanado a.tʃam.paˈna.ðo
achancar a.tʃanˈkaɾ
achantar a.tʃanˈtaɾ
achaparrado a.tʃa.paˈra.ðo
achaparrarse a.tʃa.paˈraɾ.se
achaplinarse a.tʃa.pliˈnaɾ.se
achaquero a.tʃaˈke.ɾo
achaquiento a.tʃaˈkjen̪.to
acharar a.tʃaˈɾaɾ
acharolado a.tʃa.ɾoˈla.ðo
acharolar a.tʃa.ɾoˈlaɾ
achatamiento a.tʃa.taˈmjen̪.to
achatar a.tʃaˈtaɾ
achicado a.tʃiˈka.ðo
achicador a.tʃi.kaˈðoɾ
achicadura a.tʃi.kaˈðu.ɾa
achicamiento a.tʃi.kaˈmjen̪.to
achicharradero a.tʃi.ka.raˈðe.ɾo
achicharramiento a.tʃi.tʃaˈraˈmjen̪.to
achicharrar a.tʃi.tʃaˈraɾ
achicharronar a.tʃi.tʃa.roˈnaɾ
achichincle a.tʃiˈtʃiŋ.kle
achichinque a.tʃiˈtʃiŋ.ke
achicoria a.tʃiˈko.ɾja
achiguarse a.tʃiˈɣwaɾ.se
achinelado a.tʃi.neˈla.ðo
achinero a.tʃiˈne.ɾo
achiotal a.tʃjoˈtal
achiote aˈtʃjo.te
achiotero a.tʃjoˈte.ɾo
achiotillo a.tʃjoˈti.ʝo
achiquitar a.tʃi.kiˈtaɾ
achira aˈtʃi.ɾa
achispar a.tʃisˈpaɾ
achocadura a.tʃo.kaˈðu.ɾa
achocharse a.tʃˈtʃaɾ.se
achocolatado a.tʃo.ko.laˈta.ðo
achogcha aˈtʃog.tʃa
achojcha aˈtʃox.tʃa
acholar a.tʃoˈlaɾ
achote aˈtʃo.te
achubascarse a.tʃu.βasˈkaɾ.se
achuchar a.tʃuˈtʃaɾ
achucharrar a.tʃu.tʃaˈraɾ
achucuyar a.tʃu.kuˈʝaɾ
achuela aˈtʃwe.la
achularse a.t͡ʃuˈlaɾ.se
achuma aˈtʃu.ma
achunchar a.tʃuɲ.ˈtʃar
achuntar a.tʃun.ˈtaɾ
achurar a.tʃuˈɾaɾ
aciago aˈsja.ɰo
acial a.ˈsjal
aciano a.ˈsja.no
acianos aˈsja.nos
aciar a.ˈsjaɾ
acibarar a.si.βaˈɾaɾ
acibarrar a.si.βaˈraɾ
aciberar a.si.βeˈɾaɾ
acicalador a.si.ka.laˈdðoɾ
acicaladura a.si.ka.laˈðu.ɾa
acicalamiento a.si.ka.la.ˈmjen.to
acicalar a.si.kaˈlaɾ
acicate aˈsi.ka.te
acicatear a.si.ka.teˈaɾ
aciche aˈsi.tʃe
acicular a.si.kuˈlaɾ
acidalio a.siˈða.ljo
acidaque a.siˈða.ke
acidez a.siˈðes
acidia aˈsi.ðja
acidificar a.si.ði.fiˈkaɾ
acidioso a.si.ˈðjo.so
acidosis a.siˈðo.sis
aciemar a.sjeˈmaɾ
aciguatar a.si.gwaˈtaɾ
aciguatarse a.si.gwaˈtaɾ.se
acijado a.siˈxa.ðo
acije aˈsi.xe
acijoso a.siˈxo.so
acimboga a.simˈbo.ɣa
acimentarse a.si.men̪ˈtaɾ.se
acimut a.siˈmut
acimutal a.si.muˈtal
acinesia a.si.ˈne.sja
acinturar a.sin̪.tuˈɾaɾ
acionera a.sjoˈne.ɾa
acionero a.sjoˈne.ɾo
acipado a.siˈpa.ðo
acirate a.siˈɾa.te
acitara a.siˈta.ɾa
acivilar a.si.βiˈlaɾ
aclamador a.kla.maˈðoɾ
aclamar a.klaˈmaɾ
aclarador a.kla.ɾaˈðoɾ
aclarar a.klaˈɾaɾ
aclaratorio a.kla.ɾaˈto.ɾjo
aclarecer a.kla.ɾeˈseɾ
aclareo a.klaˈɾe.o
aclavelado a.kla.βeˈla.ðo
acle ˈa.kle
acleido aˈklej.ðo
aclimatable a.kli.maˈta.βle
aclla ˈak.ʝa
aclocar a.kloˈkaɾ
aclorhidria a.kloˈɾi.ðɾja
acobardamiento a.ko.βaɾ.ðaˈmjen.to
acobardar a.ko.βaɾˈðaɾ
acobijar a.ko.βiˈxar
acobrado a.koˈβɾa.ðo
